kappa,delta,origin,destination,query_time,duration,marker
1.0,0.0,27th & Welton,Union Station,16:22:00,32.13333333333333,0
1.0,0.0,27th & Welton,Union Station,16:23:00,31.133333333333333,0
1.0,0.0,27th & Welton,Union Station,16:24:00,36.31666666666667,1
1.0,0.0,27th & Welton,Union Station,16:25:00,35.31666666666667,1
1.0,0.0,27th & Welton,Union Station,16:26:00,34.31666666666667,1
1.0,0.0,27th & Welton,Union Station,16:27:00,33.31666666666667,1
1.0,0.0,27th & Welton,Union Station,16:28:00,32.31666666666667,1
1.0,0.0,27th & Welton,Union Station,16:29:00,31.316666666666666,1
1.0,0.0,27th & Welton,Union Station,16:30:00,30.316666666666666,1
1.0,0.0,27th & Welton,Union Station,16:31:00,29.316666666666666,1
1.0,0.0,27th & Welton,Union Station,16:32:00,28.316666666666666,1
1.0,0.0,27th & Welton,Union Station,16:33:00,27.316666666666666,1
1.0,0.0,27th & Welton,Union Station,16:34:00,27.766666666666666,0
1.0,0.0,27th & Welton,Union Station,16:35:00,26.766666666666666,0
1.0,0.0,27th & Welton,Union Station,16:36:00,32.95,0
1.0,0.0,27th & Welton,Union Station,16:37:00,35.78333333333333,0
1.0,0.0,27th & Welton,Union Station,16:38:00,34.78333333333333,0
1.0,0.0,27th & Welton,Union Station,16:39:00,33.78333333333333,0
1.0,0.0,27th & Welton,Union Station,16:40:00,32.78333333333333,0
1.0,0.0,27th & Welton,Union Station,16:41:00,31.783333333333335,0
1.0,0.0,27th & Welton,Union Station,16:42:00,30.783333333333335,0
1.0,0.0,27th & Welton,Union Station,16:43:00,29.783333333333335,0
1.0,0.0,27th & Welton,Union Station,16:44:00,28.783333333333335,0
1.0,0.0,27th & Welton,Union Station,16:45:00,30.133333333333333,1
1.0,0.0,27th & Welton,Union Station,16:46:00,29.133333333333333,1
1.0,0.0,27th & Welton,Union Station,16:47:00,28.133333333333333,1
1.0,0.0,27th & Welton,Union Station,16:48:00,27.133333333333333,1
1.0,0.0,27th & Welton,Union Station,16:49:00,26.133333333333333,0
1.0,0.0,27th & Welton,Union Station,16:50:00,25.133333333333333,0
1.0,0.0,27th & Welton,Union Station,16:51:00,34.13333333333333,0
1.0,0.0,27th & Welton,Union Station,16:52:00,33.13333333333333,0
1.0,0.0,27th & Welton,Union Station,16:53:00,32.13333333333333,0
1.0,0.0,27th & Welton,Union Station,16:54:00,36.31666666666667,1
1.0,0.0,27th & Welton,Union Station,16:55:00,35.31666666666667,1
1.0,0.0,27th & Welton,Union Station,16:56:00,34.31666666666667,1
1.0,0.0,27th & Welton,Union Station,16:57:00,33.31666666666667,1
1.0,0.0,27th & Welton,Union Station,16:58:00,32.31666666666667,1
1.0,0.0,27th & Welton,Union Station,16:59:00,31.316666666666666,1
1.0,0.0,27th & Welton,Union Station,17:00:00,30.316666666666666,1
1.0,0.0,27th & Welton,Union Station,17:01:00,29.316666666666666,1
1.0,0.0,27th & Welton,Union Station,17:02:00,28.316666666666666,1
1.0,0.0,27th & Welton,Union Station,17:03:00,27.316666666666666,1
1.0,0.0,27th & Welton,Union Station,17:04:00,27.766666666666666,0
1.0,0.0,27th & Welton,Union Station,17:05:00,26.766666666666666,0
1.0,0.0,27th & Welton,Union Station,17:06:00,30.833333333333332,0
1.0,0.0,27th & Welton,Union Station,17:07:00,37.46666666666667,0
1.0,0.0,27th & Welton,Union Station,17:08:00,36.46666666666667,0
1.0,0.0,27th & Welton,Union Station,17:09:00,35.46666666666667,0
1.0,0.0,27th & Welton,Union Station,17:10:00,34.46666666666667,0
1.0,0.0,27th & Welton,Union Station,17:11:00,33.46666666666667,0
1.0,0.0,27th & Welton,Union Station,17:12:00,32.46666666666667,0
1.0,0.0,27th & Welton,Union Station,17:13:00,31.466666666666665,0
1.0,0.0,27th & Welton,Union Station,17:14:00,30.466666666666665,0
1.0,0.0,27th & Welton,Union Station,17:15:00,30.133333333333333,1
1.0,0.0,27th & Welton,Union Station,17:16:00,29.133333333333333,1
1.0,0.0,27th & Welton,Union Station,17:17:00,28.133333333333333,1
1.0,0.0,27th & Welton,Union Station,17:18:00,27.133333333333333,1
1.0,0.0,27th & Welton,Union Station,17:19:00,26.133333333333333,0
1.0,0.0,27th & Welton,Union Station,17:20:00,25.133333333333333,0
1.0,0.0,27th & Welton,Union Station,17:21:00,34.13333333333333,0
1.0,0.0,27th & Welton,Union Station,17:22:00,33.13333333333333,0
1.0,0.0,27th & Welton,Union Station,17:23:00,32.13333333333333,0
1.0,0.0,27th & Welton,Union Station,17:24:00,36.31666666666667,1
1.0,0.0,27th & Welton,Union Station,17:25:00,35.31666666666667,1
1.0,0.0,27th & Welton,Union Station,17:26:00,34.31666666666667,1
1.0,0.0,27th & Welton,Union Station,17:27:00,33.31666666666667,1
1.0,0.0,27th & Welton,Union Station,17:28:00,32.31666666666667,1
1.0,0.0,27th & Welton,Union Station,17:29:00,31.316666666666666,1
1.0,0.0,27th & Welton,Union Station,17:30:00,30.316666666666666,1
1.0,0.0,27th & Welton,Union Station,17:31:00,29.316666666666666,1
1.0,0.0,27th & Welton,Union Station,17:32:00,28.316666666666666,1
1.0,0.0,27th & Welton,Union Station,17:33:00,27.316666666666666,1
1.0,0.0,27th & Welton,Union Station,17:34:00,27.766666666666666,0
1.0,0.0,27th & Welton,Union Station,17:35:00,26.766666666666666,0
1.0,0.0,27th & Welton,Union Station,17:36:00,32.95,0
1.0,0.0,27th & Welton,Union Station,17:37:00,33.78333333333333,0
1.0,0.0,27th & Welton,Union Station,17:38:00,32.78333333333333,0
1.0,0.0,27th & Welton,Union Station,17:39:00,31.783333333333335,0
1.0,0.0,27th & Welton,Union Station,17:40:00,30.783333333333335,0
1.0,0.0,27th & Welton,Union Station,17:41:00,29.783333333333335,0
1.0,0.0,27th & Welton,Union Station,17:42:00,28.783333333333335,0
1.0,0.0,27th & Welton,Union Station,17:43:00,27.783333333333335,0
1.0,0.0,27th & Welton,Union Station,17:44:00,26.783333333333335,0
1.0,0.0,27th & Welton,Union Station,17:45:00,29.133333333333333,1
1.0,0.0,27th & Welton,Union Station,17:46:00,28.133333333333333,1
1.0,0.0,27th & Welton,Union Station,17:47:00,27.133333333333333,1
1.0,0.0,27th & Welton,Union Station,17:48:00,26.133333333333333,1
1.0,0.0,27th & Welton,Union Station,17:49:00,25.133333333333333,0
1.0,0.0,27th & Welton,Union Station,17:50:00,24.133333333333333,0
1.0,0.0,27th & Welton,Union Station,17:51:00,34.85,0
1.0,0.0,27th & Welton,Union Station,17:52:00,33.85,0
1.0,0.0,27th & Welton,Union Station,17:53:00,37.31666666666667,1
1.0,0.0,27th & Welton,Union Station,17:54:00,36.31666666666667,1
1.0,0.0,27th & Welton,Union Station,17:55:00,35.31666666666667,1
1.0,0.0,27th & Welton,Union Station,17:56:00,34.31666666666667,1
1.0,0.0,27th & Welton,Union Station,17:57:00,33.31666666666667,1
1.0,0.0,27th & Welton,Union Station,17:58:00,32.31666666666667,1
1.0,0.0,27th & Welton,Union Station,17:59:00,31.316666666666666,1
1.0,0.0,Union Station,27th & Welton,15:00:00,28.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:01:00,27.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:02:00,26.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:03:00,31.35,1
1.0,0.0,Union Station,27th & Welton,15:04:00,30.35,1
1.0,0.0,Union Station,27th & Welton,15:05:00,29.35,1
1.0,0.0,Union Station,27th & Welton,15:06:00,28.35,1
1.0,0.0,Union Station,27th & Welton,15:07:00,27.35,1
1.0,0.0,Union Station,27th & Welton,15:08:00,26.35,1
1.0,0.0,Union Station,27th & Welton,15:09:00,25.35,1
1.0,0.0,Union Station,27th & Welton,15:10:00,24.35,1
1.0,0.0,Union Station,27th & Welton,15:11:00,23.35,1
1.0,0.0,Union Station,27th & Welton,15:12:00,22.35,1
1.0,0.0,Union Station,27th & Welton,15:13:00,25.583333333333332,0
1.0,0.0,Union Station,27th & Welton,15:14:00,26.35,1
1.0,0.0,Union Station,27th & Welton,15:15:00,25.35,1
1.0,0.0,Union Station,27th & Welton,15:16:00,27.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:17:00,26.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:18:00,25.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:19:00,24.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:20:00,29.35,1
1.0,0.0,Union Station,27th & Welton,15:21:00,28.35,1
1.0,0.0,Union Station,27th & Welton,15:22:00,27.35,1
1.0,0.0,Union Station,27th & Welton,15:23:00,26.35,1
1.0,0.0,Union Station,27th & Welton,15:24:00,25.35,1
1.0,0.0,Union Station,27th & Welton,15:25:00,24.35,1
1.0,0.0,Union Station,27th & Welton,15:26:00,23.35,1
1.0,0.0,Union Station,27th & Welton,15:27:00,22.35,1
1.0,0.0,Union Station,27th & Welton,15:28:00,27.35,1
1.0,0.0,Union Station,27th & Welton,15:29:00,26.35,1
1.0,0.0,Union Station,27th & Welton,15:30:00,28.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:31:00,27.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:32:00,26.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:33:00,31.35,1
1.0,0.0,Union Station,27th & Welton,15:34:00,30.35,1
1.0,0.0,Union Station,27th & Welton,15:35:00,29.35,1
1.0,0.0,Union Station,27th & Welton,15:36:00,28.35,1
1.0,0.0,Union Station,27th & Welton,15:37:00,27.35,1
1.0,0.0,Union Station,27th & Welton,15:38:00,26.35,1
1.0,0.0,Union Station,27th & Welton,15:39:00,25.35,1
1.0,0.0,Union Station,27th & Welton,15:40:00,24.35,1
1.0,0.0,Union Station,27th & Welton,15:41:00,23.35,1
1.0,0.0,Union Station,27th & Welton,15:42:00,22.35,1
1.0,0.0,Union Station,27th & Welton,15:43:00,25.583333333333332,0
1.0,0.0,Union Station,27th & Welton,15:44:00,29.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:45:00,28.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:46:00,27.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:47:00,26.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:48:00,25.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:49:00,24.116666666666667,0
1.0,0.0,Union Station,27th & Welton,15:50:00,29.35,1
1.0,0.0,Union Station,27th & Welton,15:51:00,28.35,1
1.0,0.0,Union Station,27th & Welton,15:52:00,27.35,1
1.0,0.0,Union Station,27th & Welton,15:53:00,26.35,1
1.0,0.0,Union Station,27th & Welton,15:54:00,25.35,1
1.0,0.0,Union Station,27th & Welton,15:55:00,24.35,1
1.0,0.0,Union Station,27th & Welton,15:56:00,23.35,1
1.0,0.0,Union Station,27th & Welton,15:57:00,22.35,1
1.0,0.0,Union Station,27th & Welton,15:58:00,27.35,1
1.0,0.0,Union Station,27th & Welton,15:59:00,26.35,1
1.0,0.0,Union Station,27th & Welton,16:00:00,28.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:01:00,27.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:02:00,26.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:03:00,31.35,1
1.0,0.0,Union Station,27th & Welton,16:04:00,30.35,1
1.0,0.0,Union Station,27th & Welton,16:05:00,29.35,1
1.0,0.0,Union Station,27th & Welton,16:06:00,28.35,1
1.0,0.0,Union Station,27th & Welton,16:07:00,27.35,1
1.0,0.0,Union Station,27th & Welton,16:08:00,26.35,1
1.0,0.0,Union Station,27th & Welton,16:09:00,25.35,1
1.0,0.0,Union Station,27th & Welton,16:10:00,24.35,1
1.0,0.0,Union Station,27th & Welton,16:11:00,23.35,1
1.0,0.0,Union Station,27th & Welton,16:12:00,22.35,1
1.0,0.0,Union Station,27th & Welton,16:13:00,25.583333333333332,0
1.0,0.0,Union Station,27th & Welton,16:14:00,26.35,1
1.0,0.0,Union Station,27th & Welton,16:15:00,28.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:16:00,27.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:17:00,26.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:18:00,25.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:19:00,24.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:20:00,29.35,1
1.0,0.0,Union Station,27th & Welton,16:21:00,28.35,1
1.0,0.0,Union Station,27th & Welton,16:22:00,27.35,1
1.0,0.0,Union Station,27th & Welton,16:23:00,26.35,1
1.0,0.0,Union Station,27th & Welton,16:24:00,25.35,1
1.0,0.0,Union Station,27th & Welton,16:25:00,24.35,1
1.0,0.0,Union Station,27th & Welton,16:26:00,23.35,1
1.0,0.0,Union Station,27th & Welton,16:27:00,22.35,1
1.0,0.0,Union Station,27th & Welton,16:28:00,27.35,1
1.0,0.0,Union Station,27th & Welton,16:29:00,26.35,1
1.0,0.0,Union Station,27th & Welton,16:30:00,28.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:31:00,27.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:32:00,26.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:33:00,31.35,1
1.0,0.0,Union Station,27th & Welton,16:34:00,30.35,1
1.0,0.0,Union Station,27th & Welton,16:35:00,29.35,1
1.0,0.0,Union Station,27th & Welton,16:36:00,28.35,1
1.0,0.0,Union Station,27th & Welton,16:37:00,27.35,1
1.0,0.0,Union Station,27th & Welton,16:38:00,26.35,1
1.0,0.0,Union Station,27th & Welton,16:39:00,25.35,1
1.0,0.0,Union Station,27th & Welton,16:40:00,24.35,1
1.0,0.0,Union Station,27th & Welton,16:41:00,23.35,1
1.0,0.0,Union Station,27th & Welton,16:42:00,22.35,1
1.0,0.0,Union Station,27th & Welton,16:43:00,25.583333333333332,0
1.0,0.0,Union Station,27th & Welton,16:44:00,26.35,1
1.0,0.0,Union Station,27th & Welton,16:45:00,28.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:46:00,27.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:47:00,26.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:48:00,25.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:49:00,24.116666666666667,0
1.0,0.0,Union Station,27th & Welton,16:50:00,29.35,1
1.0,0.0,Union Station,27th & Welton,16:51:00,28.35,1
1.0,0.0,Union Station,27th & Welton,16:52:00,27.35,1
1.0,0.0,Union Station,27th & Welton,16:53:00,26.35,1
1.0,0.0,Union Station,27th & Welton,16:54:00,25.35,1
1.0,0.0,Union Station,27th & Welton,16:55:00,24.35,1
1.0,0.0,Union Station,27th & Welton,16:56:00,23.35,1
1.0,0.0,Union Station,27th & Welton,16:57:00,22.35,1
1.0,0.0,Union Station,27th & Welton,16:58:00,27.35,1
1.0,0.0,Union Station,27th & Welton,16:59:00,26.35,1
1.0,0.0,Union Station,27th & Welton,17:00:00,28.116666666666667,0
1.0,0.0,Union Station,27th & Welton,17:01:00,27.116666666666667,0
1.0,0.0,Union Station,27th & Welton,17:02:00,26.116666666666667,0
1.0,0.0,Union Station,27th & Welton,17:03:00,31.35,1
1.0,0.0,Union Station,27th & Welton,17:04:00,30.35,1
1.0,0.0,Union Station,27th & Welton,17:05:00,29.35,1
1.0,0.0,Union Station,27th & Welton,17:06:00,28.35,1
1.0,0.0,Union Station,27th & Welton,17:07:00,27.35,1
1.0,0.0,Union Station,27th & Welton,17:08:00,26.35,1
1.0,0.0,Union Station,27th & Welton,17:09:00,25.35,1
1.0,0.0,Union Station,27th & Welton,17:10:00,24.35,1
1.0,0.0,Union Station,27th & Welton,17:11:00,23.35,1
1.0,0.0,Union Station,27th & Welton,17:12:00,22.35,1
1.0,0.0,Union Station,27th & Welton,17:13:00,25.583333333333332,0
1.0,0.0,Union Station,27th & Welton,17:14:00,29.116666666666667,0
1.0,0.0,Union Station,27th & Welton,17:15:00,28.116666666666667,0
1.0,0.0,Union Station,27th & Welton,17:16:00,27.116666666666667,0
1.0,0.0,Union Station,27th & Welton,17:17:00,26.116666666666667,0
1.0,0.0,Union Station,27th & Welton,17:18:00,25.116666666666667,0
1.0,0.0,Union Station,27th & Welton,17:19:00,24.116666666666667,0
1.0,0.0,Union Station,27th & Welton,17:20:00,29.35,1
1.0,0.0,Union Station,27th & Welton,17:21:00,28.35,1
1.0,0.0,Union Station,27th & Welton,17:22:00,27.35,1
1.0,0.0,Union Station,27th & Welton,17:23:00,26.35,1
1.0,0.0,Union Station,27th & Welton,17:24:00,25.35,1
1.0,0.0,Union Station,27th & Welton,17:25:00,24.35,1
1.0,0.0,Union Station,27th & Welton,17:26:00,23.35,1
1.0,0.0,Union Station,27th & Welton,17:27:00,22.35,1
1.0,0.0,Union Station,27th & Welton,17:28:00,27.35,1
1.0,0.0,Union Station,27th & Welton,17:29:00,26.35,1
1.0,0.0,Union Station,27th & Welton,17:30:00,28.116666666666667,0
1.0,0.0,Union Station,27th & Welton,17:31:00,27.116666666666667,0
1.0,0.0,Union Station,27th & Welton,17:32:00,26.116666666666667,0
1.0,0.0,Union Station,27th & Welton,17:33:00,31.35,1
1.0,0.0,Union Station,27th & Welton,17:34:00,30.35,1
1.0,0.0,Union Station,27th & Welton,17:35:00,29.35,1
1.0,0.0,Union Station,27th & Welton,17:36:00,28.35,1
1.0,0.0,Union Station,27th & Welton,17:37:00,27.35,1
1.0,0.0,Union Station,27th & Welton,17:38:00,26.35,1
1.0,0.0,Union Station,27th & Welton,17:39:00,25.35,1
1.0,0.0,Union Station,27th & Welton,17:40:00,24.35,1
1.0,0.0,Union Station,27th & Welton,17:41:00,23.35,1
1.0,0.0,Union Station,27th & Welton,17:42:00,22.35,1
1.0,0.0,Union Station,27th & Welton,17:43:00,25.583333333333332,0
1.0,0.0,Union Station,27th & Welton,17:44:00,26.35,1
1.0,0.0,Union Station,27th & Welton,17:45:00,25.35,1
1.0,0.0,Union Station,27th & Welton,17:46:00,33.35,1
1.0,0.0,Union Station,27th & Welton,17:47:00,32.35,1
1.0,0.0,Union Station,27th & Welton,17:48:00,31.35,1
1.0,0.0,Union Station,27th & Welton,17:49:00,30.35,1
1.0,0.0,Union Station,27th & Welton,17:50:00,29.35,1
1.0,0.0,Union Station,27th & Welton,17:51:00,28.35,1
1.0,0.0,Union Station,27th & Welton,17:52:00,27.35,1
1.0,0.0,Union Station,27th & Welton,17:53:00,26.35,1
1.0,0.0,Union Station,27th & Welton,17:54:00,25.35,1
1.0,0.0,Union Station,27th & Welton,17:55:00,24.35,1
1.0,0.0,Union Station,27th & Welton,17:56:00,23.35,1
1.0,0.0,Union Station,27th & Welton,17:57:00,22.35,1
1.0,0.0,Union Station,27th & Welton,17:58:00,27.35,1
1.0,0.0,Union Station,27th & Welton,17:59:00,26.35,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:00:00,35.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:01:00,34.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:02:00,33.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:03:00,32.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:04:00,40.416666666666664,0
1.0,0.0,27th & Welton,I-25 & Broadway,15:05:00,41.166666666666664,0
1.0,0.0,27th & Welton,I-25 & Broadway,15:06:00,41.7,0
1.0,0.0,27th & Welton,I-25 & Broadway,15:07:00,43.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:08:00,42.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:09:00,41.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:10:00,40.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:11:00,39.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:12:00,38.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:13:00,37.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:14:00,36.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:15:00,35.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:16:00,34.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:17:00,33.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:18:00,32.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:19:00,40.416666666666664,0
1.0,0.0,27th & Welton,I-25 & Broadway,15:20:00,41.166666666666664,0
1.0,0.0,27th & Welton,I-25 & Broadway,15:21:00,41.7,0
1.0,0.0,27th & Welton,I-25 & Broadway,15:22:00,43.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:23:00,42.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:24:00,41.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:25:00,40.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:26:00,39.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:27:00,38.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:28:00,37.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:29:00,36.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:30:00,35.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:31:00,34.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:32:00,33.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:33:00,32.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:34:00,40.416666666666664,0
1.0,0.0,27th & Welton,I-25 & Broadway,15:35:00,42.7,0
1.0,0.0,27th & Welton,I-25 & Broadway,15:36:00,41.7,0
1.0,0.0,27th & Welton,I-25 & Broadway,15:37:00,43.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:38:00,42.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:39:00,41.85,1
1.0,0.0,27th & Welton,I-25 & Broadway,15:40:00,40.85,1
