kappa,delta,origin,destination,query_time,duration,marker
1.0,0.0,27th & Welton,Union Station,15:00:00,30.316666666666666,1
1.0,0.0,27th & Welton,Union Station,15:01:00,29.316666666666666,1
1.0,0.0,27th & Welton,Union Station,15:02:00,28.316666666666666,1
1.0,0.0,27th & Welton,Union Station,15:03:00,27.316666666666666,1
1.0,0.0,27th & Welton,Union Station,15:04:00,26.766666666666666,0
1.0,0.0,27th & Welton,Union Station,15:05:00,31.833333333333332,0
1.0,0.0,27th & Welton,Union Station,15:06:00,30.833333333333332,0
1.0,0.0,27th & Welton,Union Station,15:07:00,37.13333333333333,1
1.0,0.0,27th & Welton,Union Station,15:08:00,36.13333333333333,1
1.0,0.0,27th & Welton,Union Station,15:09:00,35.13333333333333,1
1.0,0.0,27th & Welton,Union Station,15:10:00,34.13333333333333,1
1.0,0.0,27th & Welton,Union Station,15:11:00,33.13333333333333,1
1.0,0.0,27th & Welton,Union Station,15:12:00,32.13333333333333,1
1.0,0.0,27th & Welton,Union Station,15:13:00,31.133333333333333,1
1.0,0.0,27th & Welton,Union Station,15:14:00,30.133333333333333,1
1.0,0.0,27th & Welton,Union Station,15:15:00,29.133333333333333,1
1.0,0.0,27th & Welton,Union Station,15:16:00,28.133333333333333,1
1.0,0.0,27th & Welton,Union Station,15:17:00,27.133333333333333,1
1.0,0.0,27th & Welton,Union Station,15:18:00,26.133333333333333,1
1.0,0.0,27th & Welton,Union Station,15:19:00,25.133333333333333,0
1.0,0.0,27th & Welton,Union Station,15:20:00,34.13333333333333,0
1.0,0.0,27th & Welton,Union Station,15:21:00,33.13333333333333,0
1.0,0.0,27th & Welton,Union Station,15:22:00,32.13333333333333,0
1.0,0.0,27th & Welton,Union Station,15:23:00,31.133333333333333,0
1.0,0.0,27th & Welton,Union Station,15:24:00,35.78333333333333,0
1.0,0.0,27th & Welton,Union Station,15:25:00,34.78333333333333,0
1.0,0.0,27th & Welton,Union Station,15:26:00,33.78333333333333,0
1.0,0.0,27th & Welton,Union Station,15:27:00,32.78333333333333,0
1.0,0.0,27th & Welton,Union Station,15:28:00,31.783333333333335,0
1.0,0.0,27th & Welton,Union Station,15:29:00,30.783333333333335,0
1.0,0.0,27th & Welton,Union Station,15:30:00,29.783333333333335,0
1.0,0.0,27th & Welton,Union Station,15:31:00,28.783333333333335,0
1.0,0.0,27th & Welton,Union Station,15:32:00,27.783333333333335,0
1.0,0.0,27th & Welton,Union Station,15:33:00,26.783333333333335,0
1.0,0.0,27th & Welton,Union Station,15:34:00,25.783333333333335,0
1.0,0.0,27th & Welton,Union Station,15:35:00,33.95,0
1.0,0.0,27th & Welton,Union Station,15:36:00,32.95,0
1.0,0.0,27th & Welton,Union Station,15:37:00,37.13333333333333,1
1.0,0.0,27th & Welton,Union Station,15:38:00,36.13333333333333,1
1.0,0.0,27th & Welton,Union Station,15:39:00,35.13333333333333,1
1.0,0.0,27th & Welton,Union Station,15:40:00,34.13333333333333,1
1.0,0.0,27th & Welton,Union Station,15:41:00,33.13333333333333,1
1.0,0.0,27th & Welton,Union Station,15:42:00,32.13333333333333,1
1.0,0.0,27th & Welton,Union Station,15:43:00,31.133333333333333,1
1.0,0.0,27th & Welton,Union Station,15:44:00,30.133333333333333,1
1.0,0.0,27th & Welton,Union Station,15:45:00,29.133333333333333,1
1.0,0.0,27th & Welton,Union Station,15:46:00,28.133333333333333,1
1.0,0.0,27th & Welton,Union Station,15:47:00,27.133333333333333,1
1.0,0.0,27th & Welton,Union Station,15:48:00,26.133333333333333,1
1.0,0.0,27th & Welton,Union Station,15:49:00,25.133333333333333,0
1.0,0.0,27th & Welton,Union Station,15:50:00,34.13333333333333,0
1.0,0.0,27th & Welton,Union Station,15:51:00,33.13333333333333,0
1.0,0.0,27th & Welton,Union Station,15:52:00,32.13333333333333,0
1.0,0.0,27th & Welton,Union Station,15:53:00,31.133333333333333,0
1.0,0.0,27th & Welton,Union Station,15:54:00,35.78333333333333,0
1.0,0.0,27th & Welton,Union Station,15:55:00,34.78333333333333,0
1.0,0.0,27th & Welton,Union Station,15:56:00,33.78333333333333,0
1.0,0.0,27th & Welton,Union Station,15:57:00,32.78333333333333,0
1.0,0.0,27th & Welton,Union Station,15:58:00,31.783333333333335,0
1.0,0.0,27th & Welton,Union Station,15:59:00,30.783333333333335,0
1.0,0.0,27th & Welton,Union Station,16:00:00,29.783333333333335,0
1.0,0.0,27th & Welton,Union Station,16:01:00,28.783333333333335,0
1.0,0.0,27th & Welton,Union Station,16:02:00,27.783333333333335,0
1.0,0.0,27th & Welton,Union Station,16:03:00,26.783333333333335,0
1.0,0.0,27th & Welton,Union Station,16:04:00,25.783333333333335,0
1.0,0.0,27th & Welton,Union Station,16:05:00,31.833333333333332,0
1.0,0.0,27th & Welton,Union Station,16:06:00,30.833333333333332,0
1.0,0.0,27th & Welton,Union Station,16:07:00,37.13333333333333,1
1.0,0.0,27th & Welton,Union Station,16:08:00,36.13333333333333,1
1.0,0.0,27th & Welton,Union Station,16:09:00,35.13333333333333,1
1.0,0.0,27th & Welton,Union Station,16:10:00,34.13333333333333,1
1.0,0.0,27th & Welton,Union Station,16:11:00,33.13333333333333,1
1.0,0.0,27th & Welton,Union Station,16:12:00,32.13333333333333,1
1.0,0.0,27th & Welton,Union Station,16:13:00,31.133333333333333,1
1.0,0.0,27th & Welton,Union Station,16:14:00,30.133333333333333,1
1.0,0.0,27th & Welton,Union Station,16:15:00,29.133333333333333,1
1.0,0.0,27th & Welton,Union Station,16:16:00,28.133333333333333,1
1.0,0.0,27th & Welton,Union Station,16:17:00,27.133333333333333,1
1.0,0.0,27th & Welton,Union Station,16:18:00,26.133333333333333,1
1.0,0.0,27th & Welton,Union Station,16:19:00,25.133333333333333,0
1.0,0.0,27th & Welton,Union Station,16:20:00,34.13333333333333,0
1.0,0.0,27th & Welton,Union Station,16:21:00,33.13333333333333,0
